Country,,,Year,GDP per Capita,Population(thousands),,Total Country GDP (in billions of dollars),,,,Year,World GDP(billions of dollars,,,Percentage of Global GDP
RUS,Russian Federation,Eastern Europe,1950,,,,0,,,,,,,,
RUS,Russian Federation,Eastern Europe,1951,,,,0,,,,,,,,
RUS,Russian Federation,Eastern Europe,1952,,,,0,,,,,,,,
RUS,Russian Federation,Eastern Europe,1953,,,,0,,,,,,,,
RUS,Russian Federation,Eastern Europe,1954,,,,0,,,,,,,,
RUS,Russian Federation,Eastern Europe,1955,,,,0,,,,,,,,
RUS,Russian Federation,Eastern Europe,1956,,,,0,,,,,,,,
RUS,Russian Federation,Eastern Europe,1957,,,,0,,,,,,,,
RUS,Russian Federation,Eastern Europe,1958,,,,0,,,,,,,,
RUS,Russian Federation,Eastern Europe,1959,,,,0,,,,,,,,
RUS,Russian Federation,Eastern Europe,1960,"1,365",212417,,289.949205,,,,1960-12-31,1364.5,,,21.24948369
RUS,Russian Federation,Eastern Europe,1961,"1,422",216307,,307.588554,,,,1961-12-31,1439.3,,,21.37070479
RUS,Russian Federation,Eastern Europe,1962,"1,642",220017,,361.267914,,,,1962-12-31,1542.8,,,23.41638022
RUS,Russian Federation,Eastern Europe,1963,"1,781",223457,,397.976917,,,,1963-12-31,1664.9,,,23.90395321
RUS,Russian Federation,Eastern Europe,1964,"1,841",226665,,417.290265,,,,1964-12-31,1827.8,,,22.83019285
RUS,Russian Federation,Eastern Europe,1965,"2,045",229616,,469.56472,,,,1965-12-31,1990.2,,,23.59384584
RUS,Russian Federation,Eastern Europe,1966,"2,324",232220,,539.67928,,,,1966-12-31,2154.6,,,25.04777128
RUS,Russian Federation,Eastern Europe,1967,"2,935",234800,,689.138,,,,1967-12-31,2293.8,,,30.04350859
RUS,Russian Federation,Eastern Europe,1968,"3,288",237209,,779.943192,,,,1968-12-31,2479,,,31.46200855
RUS,Russian Federation,Eastern Europe,1969,"3,543",239507,,848.573301,,,,1969-12-31,2735.5,,,31.02077503
RUS,Russian Federation,Eastern Europe,1970,"3,724",241720,,900.16528,,,,1970-12-31,3001.6,,,29.98951493
RUS,Russian Federation,Eastern Europe,1971,"3,891",243950,,949.20945,,,,1971-12-31,3316.1,,,28.62427098
RUS,Russian Federation,Eastern Europe,1972,"4,040",246254,,994.86616,,,,1972-12-31,3832.7,,,25.95731886
RUS,Russian Federation,Eastern Europe,1973,"4,596",248613,,1142.625348,,,,1973-12-31,4662.5,,,24.50670988
RUS,Russian Federation,Eastern Europe,1974,"4,924",250865,,1235.25926,,,,1974-12-31,5358.9,,,23.05061225
RUS,Russian Federation,Eastern Europe,1975,"5,368",253279,,1359.601672,,,,1975-12-31,5990.7,,,22.69520544
RUS,Russian Federation,Eastern Europe,1976,"5,921",255463,,1512.596423,,,,1976-12-31,6508.3,,,23.24103718
RUS,Russian Federation,Eastern Europe,1977,"6,577",257892,,1696.155684,,,,1977-12-31,7356.8,,,23.05561771
RUS,Russian Federation,Eastern Europe,1978,"6,849",260125,,1781.596125,,,,1978-12-31,8700.8,,,20.47623351
RUS,Russian Federation,Eastern Europe,1979,"7,121",262436,,1868.806756,,,,1979-12-31,10113.4,,,18.47852113
RUS,Russian Federation,Eastern Europe,1980,"7,568",264530,,2001.96304,,,,1980-12-31,11419.2,,,17.53155247
RUS,Russian Federation,Eastern Europe,1981,"7,752",266629,,2066.908008,,,,1981-12-31,11796.5,,,17.52136657
RUS,Russian Federation,Eastern Europe,1982,"7,943",268841,,2135.404063,,,,1982-12-31,11648.1,,,18.33263848
RUS,Russian Federation,Eastern Europe,1983,"8,166",271227,,2214.839682,,,,1983-12-31,11972.2,,,18.49985535
RUS,Russian Federation,Eastern Europe,1984,"8,538",273769,,2337.439722,,,,1984-12-31,12446,,,18.78065018
RUS,Russian Federation,Eastern Europe,1985,"8,896",276310,,2458.05376,,,,1985-12-31,13024,,,18.8732629
RUS,Russian Federation,Eastern Europe,1986,9012,278845,,2512.95114,,,,1986-12-31,15351.7,,,16.36920432
